cruise,ship,haul,collection,latitude,longitude,stop_latitude,stop_longitude,time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight
,,,,degrees_north,degrees_east,,,UTC,UTC,degree C,,knot,,,,kg,kg
200307,FR,1,2003,42.9816,-124.8413,43.0006,-124.893,2003-07-09T03:03:00Z,2003-07-09T03:34:00Z,13.3,"bucket         ",3.5,82367,Teuthida,1,0.01,NaN
200307,FR,2,2004,43.0061,-124.9235,43.0008,-124.9746,2003-07-09T04:04:00Z,2003-07-09T04:34:00Z,13.3,"bucket         ",3.5,168586,Trachurus symmetricus,NaN,9.1,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,82367,Teuthida,NaN,0.1,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,161729,Sardinops sagax,8,1.597,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,161977,Oncorhynchus kisutch,1,5.0,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,164792,Merluccius productus,NaN,272.7,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,168586,Trachurus symmetricus,NaN,45.0,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,172412,Scomber japonicus,1,0.1,NaN
200307,FR,3,2005,43.0156,-125.0083,43.0156,-125.0613,2003-07-09T05:08:00Z,2003-07-09T05:38:00Z,14.3,"bucket         ",3.5,172510,Icichthys lockingtoni,1,0.03,NaN
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-09T06:08:00Z,2003-07-09T06:38:00Z,14.5,"bucket         ",3.5,160424,Prionace glauca,1,50.0,NaN
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-09T06:08:00Z,2003-07-09T06:38:00Z,14.5,"bucket         ",3.5,161729,Sardinops sagax,19,3.786,NaN
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-09T06:08:00Z,2003-07-09T06:38:00Z,14.5,"bucket         ",3.5,161977,Oncorhynchus kisutch,1,5.0,NaN
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-09T06:08:00Z,2003-07-09T06:38:00Z,14.5,"bucket         ",3.5,164792,Merluccius productus,NaN,4.5,NaN
200307,FR,4,2006,43.0006,-125.0913,43.0003,-125.1395,2003-07-09T06:08:00Z,2003-07-09T06:38:00Z,14.5,"bucket         ",3.5,168586,Trachurus symmetricus,NaN,227.3,NaN
200307,FR,5,2007,43.0,-125.187,43.0001,-125.228,2003-07-09T07:07:00Z,2003-07-09T07:37:00Z,14.5,"bucket         ",3.6,161729,Sardinops sagax,47,9.135,NaN
200307,FR,5,2007,43.0,-125.187,43.0001,-125.228,2003-07-09T07:07:00Z,2003-07-09T07:37:00Z,14.5,"bucket         ",3.6,161974,Oncorhynchus,1,3.0,NaN
200307,FR,5,2007,43.0,-125.187,43.0001,-125.228,2003-07-09T07:07:00Z,2003-07-09T07:37:00Z,14.5,"bucket         ",3.6,164792,Merluccius productus,NaN,1.0,NaN
200307,FR,5,2007,43.0,-125.187,43.0001,-125.228,2003-07-09T07:07:00Z,2003-07-09T07:37:00Z,14.5,"bucket         ",3.6,168586,Trachurus symmetricus,NaN,136.0,NaN
200307,FR,6,2008,43.004,-125.3083,43.002,-125.3031,2003-07-09T08:58:00Z,2003-07-09T09:28:00Z,13.4,"bucket         ",3.6,161729,Sardinops sagax,58,11.348,NaN
